Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
156.738281,-1.090585,-1.100633,-0.010048
157.470703,-1.001512,-1.014085,-0.012573
158.203125,-0.919494,-0.927536,-0.008043
158.935547,-0.843197,-0.843612,-0.000415
159.667969,-0.769907,-0.772849,-0.002942
160.400391,-0.698220,-0.702086,-0.003866
161.132812,-0.628875,-0.631322,-0.002448
161.865234,-0.561404,-0.561437,-0.000033
162.597656,-0.494389,-0.496496,-0.002108
163.330078,-0.427927,-0.431555,-0.003628
164.062500,-0.363258,-0.366615,-0.003356
164.794922,-0.302769,-0.304435,-0.001665
165.527344,-0.248659,-0.259892,-0.011233
166.259766,-0.201276,-0.215349,-0.014074
166.992188,-0.161853,-0.170807,-0.008954
167.724609,-0.128214,-0.127902,0.000312
168.457031,-0.097022,-0.097013,0.000008
169.189453,-0.067290,-0.066125,0.001165
169.921875,-0.037456,-0.035237,0.002220
170.654297,-0.004137,-0.002153,0.001984
171.386719,0.035349,0.049757,0.014408
172.119141,0.082693,0.101666,0.018973
172.851562,0.140348,0.153576,0.013228
173.583984,0.207120,0.206393,-0.000727
174.316406,0.277688,0.268504,-0.009184
175.048828,0.345922,0.330614,-0.015308
175.781250,0.404991,0.392724,-0.012267
176.513672,0.453448,0.453479,0.000032
177.246094,0.495600,0.497172,0.001573
177.978516,0.537629,0.540866,0.003237
178.710938,0.582155,0.584559,0.002403
179.443359,0.628292,0.628303,0.000011
180.175781,0.673921,0.672876,-0.001045
180.908203,0.718304,0.717448,-0.000855
181.640625,0.762650,0.762021,-0.000629
182.373047,0.806532,0.806029,-0.000503
183.105469,0.848470,0.837370,-0.011100
183.837891,0.886111,0.868710,-0.017401
184.570312,0.914787,0.900051,-0.014736
185.302734,0.930579,0.930416,-0.000163
186.035156,0.934928,0.925969,-0.008959
186.767578,0.932428,0.921522,-0.010906
187.500000,0.924994,0.917074,-0.007919
188.232422,0.911972,0.912246,0.000274
188.964844,0.891278,0.875605,-0.015673
189.697266,0.859589,0.838964,-0.020625
190.429688,0.817040,0.802323,-0.014718
191.162109,0.765331,0.765681,0.000350
191.894531,0.706547,0.700687,-0.005860
192.626953,0.642109,0.635590,-0.006519
193.359375,0.573911,0.570493,-0.003418
194.091797,0.504984,0.505396,0.000412
194.824219,0.437910,0.437044,-0.000866
195.556641,0.372422,0.368628,-0.003794
196.289062,0.304279,0.300213,-0.004067
197.021484,0.231289,0.231797,0.000508
197.753906,0.155432,0.160789,0.005358
198.486328,0.079486,0.089689,0.010203
199.218750,0.008701,0.018588,0.009887
199.951172,-0.053665,-0.052512,0.001153
200.683594,-0.107931,-0.100711,0.007220
201.416016,-0.156664,-0.147706,0.008958
202.148438,-0.201439,-0.194701,0.006739
202.880859,-0.242612,-0.241695,0.000916
203.613281,-0.280293,-0.277886,0.002406
204.345703,-0.315241,-0.313321,0.001919
205.078125,-0.349449,-0.348757,0.000692
205.810547,-0.384510,-0.384192,0.000318
206.542969,-0.422250,-0.426188,-0.003939
207.275391,-0.463821,-0.468761,-0.004941
208.007812,-0.508487,-0.511335,-0.002848
208.740234,-0.554121,-0.553908,0.000213
209.472656,-0.596309,-0.588669,0.007639
210.205078,-0.632039,-0.622599,0.009440
210.937500,-0.662801,-0.656528,0.006273
211.669922,-0.691177,-0.690457,0.000719
212.402344,-0.721592,-0.725565,-0.003973
213.134766,-0.754395,-0.760821,-0.006426
213.867188,-0.790056,-0.796077,-0.006021
214.599609,-0.830678,-0.831333,-0.000655
215.332031,-0.877096,-0.882440,-0.005344
216.064453,-0.929285,-0.935856,-0.006571
216.796875,-0.985060,-0.989272,-0.004211
217.529297,-1.042422,-1.042687,-0.000266
218.261719,-1.100472,-1.101477,-0.001005
218.994141,-1.159051,-1.161161,-0.002110
219.726562,-1.219278,-1.220844,-0.001566
220.458984,-1.280930,-1.280528,0.000402
221.191406,-1.341052,-1.338042,0.003010
221.923828,-1.399172,-1.395149,0.004024
222.656250,-1.455597,-1.452256,0.003341
223.388672,-1.510383,-1.509363,0.001020
224.121094,-1.563419,-1.561382,0.002037
224.853516,-1.614872,-1.612335,0.002537
225.585938,-1.665292,-1.663287,0.002005
226.318359,-1.715005,-1.714240,0.000765
227.050781,-1.763398,-1.758806,0.004592
227.783203,-1.809640,-1.801885,0.007755
228.515625,-1.852081,-1.844964,0.007117
229.248047,-1.889860,-1.888044,0.001817
229.980469,-1.923694,-1.918847,0.004848
230.712891,-1.954222,-1.946497,0.007724
231.445312,-1.981118,-1.974148,0.006970
232.177734,-2.003988,-2.001799,0.002190
232.910156,-2.020803,-2.013041,0.007763
233.642578,-2.031826,-2.019661,0.012166
234.375000,-2.037101,-2.026281,0.010820
235.107422,-2.035868,-2.032901,0.002967
235.839844,-2.027535,-2.020689,0.006846
236.572266,-2.012570,-2.002685,0.009885
237.304688,-1.992301,-1.984681,0.007620
238.037109,-1.968688,-1.966677,0.002011
