Frequency_Hz,Original_dB,Truncated_dB,Difference_dB
139.892578,-1.580511,-1.579953,0.000558
140.625000,-1.575261,-1.575892,-0.000631
141.357422,-1.572917,-1.575778,-0.002861
142.089844,-1.575321,-1.586963,-0.011643
142.822266,-1.584041,-1.598149,-0.014108
143.554688,-1.600366,-1.609335,-0.008969
144.287109,-1.624716,-1.626900,-0.002183
145.019531,-1.656297,-1.664290,-0.007992
145.751953,-1.694440,-1.701680,-0.007240
146.484375,-1.735694,-1.739070,-0.003376
147.216797,-1.777609,-1.780025,-0.002416
147.949219,-1.821763,-1.833052,-0.011289
148.681641,-1.871165,-1.886079,-0.014914
149.414062,-1.928979,-1.939105,-0.010126
150.146484,-1.995600,-1.995726,-0.000125
150.878906,-2.070417,-2.065661,0.004756
151.611328,-2.147368,-2.135597,0.011771
152.343750,-2.214988,-2.205532,0.009455
153.076172,-2.271160,-2.266375,0.004786
153.808594,-2.313985,-2.290176,0.023809
154.541016,-2.340301,-2.313978,0.026323
155.273438,-2.353646,-2.337780,0.015866
156.005859,-2.357391,-2.357238,0.000152
156.738281,-2.357322,-2.357132,0.000190
157.470703,-2.357167,-2.357025,0.000142
158.203125,-2.357445,-2.356919,0.000526
158.935547,-2.356591,-2.356091,0.000500
159.667969,-2.353929,-2.351644,0.002284
160.400391,-2.350942,-2.347198,0.003744
161.132812,-2.346514,-2.342751,0.003763
161.865234,-2.337081,-2.335197,0.001884
162.597656,-2.319848,-2.310142,0.009706
163.330078,-2.295313,-2.285088,0.010225
164.062500,-2.265517,-2.260033,0.005484
164.794922,-2.233997,-2.236087,-0.002089
165.527344,-2.205843,-2.219215,-0.013372
166.259766,-2.184213,-2.202343,-0.018130
166.992188,-2.172558,-2.185472,-0.012914
167.724609,-2.170886,-2.173058,-0.002172
168.457031,-2.179193,-2.193360,-0.014167
169.189453,-2.197123,-2.213663,-0.016539
169.921875,-2.222968,-2.233965,-0.010997
170.654297,-2.255641,-2.256259,-0.000618
171.386719,-2.294609,-2.295631,-0.001021
172.119141,-2.337645,-2.335002,0.002643
172.851562,-2.378500,-2.374374,0.004126
173.583984,-2.412531,-2.413239,-0.000708
174.316406,-2.441065,-2.446934,-0.005869
175.048828,-2.469614,-2.480629,-0.011015
175.781250,-2.505022,-2.514323,-0.009301
176.513672,-2.548521,-2.548277,0.000244
177.246094,-2.595037,-2.585497,0.009540
177.978516,-2.636872,-2.622716,0.014155
178.710938,-2.670593,-2.659936,0.010657
179.443359,-2.695866,-2.695074,0.000793
